Obsah,Název videa,Čas zveřejnění videa,Délka,Zhlédnutí
G6J-4Mg-FkE,Karel Hádek – Čtení o staré Praze | Kapitola 19: O nebožce lotynce,"Dec 21, 2025",968,154
OcSPbpkVr7g,Karel Hádek – Čtení o staré Praze | Kapitola 10: Dva starobylé domy malostranské,"Oct 26, 2025",895,153
AZfRuni3yoo,Balada dětská – Jan Neruda | Mozaika české poezie: Příběhy a obrazy,"Mar 26, 2026",128,144
tSSFpdBACYM,Karel Hádek – Čtení o staré Praze | Kapitola 20: Vánoce! Vánoce!,"Dec 29, 2025",705,142
S2evx5SdTcU,Literární rezidence a alternativní scéna – Hana Lundiaková | Pestrá země,"Dec 5, 2025",1358,141
iyl9PKDGaL8,Pršelo v noci – Karel Hlaváček | Mozaika české poezie: Hlasy a otázky,"Apr 10, 2026",293,141
qaOtolrVbXQ,Ruce – Otokar Březina | Mozaika české poezie: Hlasy a otázky,"Mar 26, 2026",295,138
k_b1irMvpLw,Mariánská listování s Ivanem Pušem - 13.díl,"Apr 8, 2026",1969,137
jFXRfxhuNVs,Karel Hádek – Čtení o staré Praze | Kapitola 9: Paladium země České,"Oct 19, 2025",482,136
dZvtoVYtN30,Za noci březnové – Karel Hlaváček | Mozaika české poezie: Hlasy a otázky,"Apr 10, 2026",219,133
0BcyKP663vg,Mariánská listování s Michalem Brožou - 10. díl,"Jan 19, 2026",3409,132
RcPjb2CCsEA,Soumrak u moře – Viktor Dyk | Mozaika české poezie: Hlasy a otázky,"Jun 12, 2026",228,131
o-4LbeU8P5s,Jak virtuální realita pomáhá seniorům i pečovatelům | 10. díl,"Mar 30, 2026",2383,129
xl9DZdM0ch4,Karel Hádek – Čtení o staré Praze | Kapitola 34: Bombardování Prahy Windischgrätzem,"Apr 5, 2026",446,129
BUGJAYMkz2I,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 3: Chocholouš,"Aug 15, 2025",589,125
QUby9009nkw,Karel Hádek – Čtení o staré Praze | Kapitola 14: Papouškové lázně,"Nov 16, 2025",522,125
xlAPcPNNi1g,Z věčných dálek – Otokar Březina | Mozaika české poezie: Hlasy a otázky,"May 7, 2026",304,125
DxL68eD0uNk,"Virtuální realita, film a knihovny – Ondřej Moravec | Díl 9","Feb 25, 2026",3245,124
H6bRm_nc4pk,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 9: Jak vraždila rakouská byrokracie naše nejl...,"Aug 23, 2025",497,124
sj34fxvAXEY,Rehabilitace ve virtuální realitě,"Nov 20, 2025",1327,123
VsjXpJi6K8I,Karel Hádek – Čtení o staré Praze | Kapitola 31: O té velké vodě,"Mar 15, 2026",899,122
1kvk95w0Qjs,Mariánská listování s Janem Smigmatorem - 7. díl,"Sep 23, 2025",2242,121
WLG1Sdh_Wvk,Karel Hádek – Čtení o staré Praze | Kapitola 32: Praha 1855,"Mar 22, 2026",506,121
9cvALuTe_wE,Mariánská listování s Ester Pavlů - 15. díl,"Jun 1, 2026",2792,119
6GhXoPfo5P4,Karel Hádek – Čtení o staré Praze | Kapitola 11: Židovský průvod,"Oct 26, 2025",685,116
DtxuxoBVezQ,Mariánská listování se Zdeňkem Pokludou - 14. díl,"May 4, 2026",2972,114
X_mmgnMYENQ,Karel Hádek – Čtení o staré Praze | Kapitola 33: Kocourkovské příběhy,"Mar 29, 2026",1261,114
2zi5mkm5e4Q,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 6: Plavba paní Suchánkové do Ameriky,"Aug 15, 2025",1207,112
9uTcAobSr0Y,Apostrofa zimní – Otokar Březina | Mozaika české poezie: Hlasy a otázky,"Apr 23, 2026",342,110
Hj1PdaUnadE,Práce – Josef Hora | Mozaika české poezie: Příběhy a obrazy,"Apr 23, 2026",153,106
xPgLt1FdYCI,V pravěkém světě – Arnošt Caha | Kapitola 1: Cestou k jeskyni,"May 25, 2026",682,105
XYdOF5w8P1A,Virtuální realita: KineDok a dokumentární film | 11. díl,"Apr 27, 2026",2552,100
lOJhJ_QZIc8,Karel Hádek – Čtení o staré Praze | Kapitola 35: Zlatá bula ztracena a opět nalezena,"Apr 12, 2026",568,100
m3TgaugXTRY,Mariánská listování s Evou Chodějovskou - 4.díl,"Aug 18, 2025",2344,100
o0ewA8rKR8o,VR Quide me - objevte historii Prahy od minulosti až po součastnost I 12. díl,"May 26, 2026",2106,100
HMIjm7wkr3k,Karel Hádek – Čtení o staré Praze | Kapitola 27: Zpěváčkové,"Feb 15, 2026",852,98
vFih6GUiDWE,Karel Hádek – Čtení o staré Praze | Kapitola 38: Staropražan vypravuje,"Jun 28, 2026",2961,97
0nwGiePljtg,Karel Hádek – Čtení o staré Praze | Kapitola 12: Pražské písně lidu vojenského,"Nov 2, 2025",597,93
p81-DGUXFtI,Nacistická propaganda v ČSR,"Dec 2, 2025",1580,92
GG4Ds2IAIKY,Karel Hádek – Čtení o staré Praze | Kapitola 37: Pět zajímavých epitafů,"Apr 26, 2026",455,91
doM1cVRZvIA,V pravěkém světě – Arnošt Caha | Kapitola 5: Na prahu pravěkého světa,"Jun 7, 2026",1639,90
n-8Dmo-g_0I,Karel Hádek – Čtení o staré Praze | Kapitola 28: Jak přijel do Prahy první vlak,"Feb 22, 2026",773,90
vmhs0_jqo5k,Karel Hádek – Čtení o staré Praze | Kapitola 30: Rychtář Vavák vidí korunovaci Leopolda II.,"Mar 8, 2026",567,89
G23iqulol6Q,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 5: Němá láska poručíka Klanga,"Aug 15, 2025",1287,88
t04WykqxoOA,Samostatná Ukrajina,"Dec 2, 2025",1473,87
aIpLdxcelt4,Karel Hádek – Čtení o staré Praze | Kapitola 29: Blahořečení Jana Nepomuckého,"Mar 1, 2026",843,84
h3L6qzI-Q-A,Mariánská listování s Helenou Koenigsmarkovou - 12. díl,"Mar 2, 2026",3081,83
Usb5zLIREWY,Byl Adolf Hitler komunista?,"Dec 2, 2025",1037,81
NCRg659vK0E,Poutník – Otakar Theer | Mozaika české poezie: Hlasy a otázky,"Jun 2, 2026",195,78
ipa-RoUzQcg,"Karel Hádek – Čtení o staré Praze | Kapitola 36: Seance, nebo senzace?","Apr 20, 2026",580,77
0u-_WJwG2FM,V pravěkém světě – Arnošt Caha | Kapitola 6: V devonu,"Jun 7, 2026",1233,76
c-mZhholZOA,Přiznání algoritmu – Michaela Liegertová | Z-ai-mavý spisovatel,"Feb 8, 2026",555,68
uPNt0CRWkcs,Lucifer – Jiří Karásek ze Lvovic | Mozaika české poezie: Hlasy a otázky,"Jun 25, 2026",405,67
8IpVfWvpu3M,Domovní důvěrník 2.0 – Jiří Krišpin | Z-ai-mavý spisovatel,"Feb 8, 2026",444,66
8AgXCEb7maU,Poslední svobodné volby,"Dec 2, 2025",1432,64
tcRmifYNZDc,Hledání slov – Jana Šindlerová | Z-ai-mavý spisovatel,"Feb 22, 2026",622,63
e_fEn3QC264,Temná druhá republika,"Dec 2, 2025",1318,61
0snGjy6nrio,V pravěkém světě – Arnošt Caha | Kapitola 3: V pohádkovém světě,"May 31, 2026",819,53
mg3XQat7GFU,V pravěkém světě – Arnošt Caha | Kapitola 7: Ve světě karbonu,"Jun 26, 2026",1007,51
s6jDGlg0TH4,Podivnější než fikce – Vendula Kreplová | Z-ai-mavý zločin,"Jun 10, 2026",554,51
Zu4j_DVvi6c,Rizikové povolání – Tereza Kovanicová | Z-ai-mavý zločin,"Jun 4, 2026",530,48
C_USK8BE-G4,V pravěkém světě – Arnošt Caha | Kapitola 2: Na pravěkém hřbitově,"May 31, 2026",1374,46
FNFMHn8GPns,Smyčka osudu – Michaela Liegertová | Z-ai-mavý zločin,"Jun 19, 2026",508,43
vo49ZpMGyak,V pravěkém světě – Arnošt Caha | Kapitola 4: Pohřbeni zaživa,"May 31, 2026",1058,39
X8SSXyw4Xns,V pravěkém světě – Arnošt Caha | Kapitola 14: Lov na mamuta,"Jul 5, 2026",1920,38
wXjThAEkDTE,Mariánská listování se Zdeňkem Juráskem: 250 let USA a 100 let Route 66 – 16. díl,"Jun 29, 2026",2806,37
rpJGAYVQI5Y,Já nejsem vichr – Otokar Fischer | Mozaika české poezie: Hlasy a otázky,"Jul 4, 2026",173,36
areKoQHEVZc,Hitlerova cesta k moci - i Hitlera si zvolili demokraticky,"Dec 2, 2025",1351,33
kOgMBL391wg,V pravěkém světě – Arnošt Caha | Kapitola 10: Objevuje se dvounožec,"Jun 28, 2026",1733,27
UiyFjVwVBRM,Staré pověsti pražské – Adolf Wening | Povídka 4: O paláci Kinských,"Jul 1, 2026",377,25
G2TYdnnolL4,V pravěkém světě – Arnošt Caha | Kapitola 15: V pravěké obrazárně,"Jul 5, 2026",1669,22
QV7pnY2RBcE,V pravěkém světě – Arnošt Caha | Kapitola 9: Obludy ještě nezmizely,"Jun 28, 2026",1648,20
5oc_8nGj1aM,Staré pověsti pražské – Adolf Wening | Povídka 1: O Staroměstském náměstí,"Jul 1, 2026",732,17
isdNp7b3Xyw,V pravěkém světě – Arnošt Caha | Kapitola 8: Ve světě draků a příšer,"Jun 28, 2026",1310,17
eAA21bkdz2U,V pravěkém světě – Arnošt Caha | Kapitola 13: Pravěcí gladiátoři,"Jul 5, 2026",1616,16
7kZevziNBKk,Staré pověsti pražské – Adolf Wening | Povídka 2: O staroměstském orloji,"Jul 1, 2026",876,12
ZSqd2FFQj68,V pravěkém světě – Arnošt Caha | Kapitola 11: První lidé,"Jul 5, 2026",1592,11
o-HTU2g2_aE,V pravěkém světě – Arnošt Caha | Kapitola 12: Chlupatí kamarádi,"Jul 5, 2026",1330,10
AajGnpekZ_Y,Staré pověsti pražské – Adolf Wening | Povídka 3: O chrámě Týnském,"Jul 1, 2026",863,8
