Obsah,Název videa,Čas zveřejnění videa,Délka,Zhlédnutí
HFtm9FvXsaU,Karel Hádek – Čtení o staré Praze | Kapitola 6: Zahrady za Koňskou branou,"Oct 5, 2025",580,210
2-7AMKqBPdg,Virtuální realita: Open Brush – malování v 3D prostoru,"Dec 22, 2025",2672,206
_VAzd9St5aI,Virtuální město: trénink paměti a kognitivních funkcí pro seniory,"Oct 29, 2025",1460,198
MKOIRfltl6Y,Karel Hádek – Čtení o staré Praze | Kapitola 23: Móda ve středověké Praze,"Jan 18, 2026",734,191
asVUURTl2L8,"Mouchy, Maribor a fotbalové metafory – Dora Kaprálová | Pestrá země","Apr 24, 2026",1393,181
qrhzr3ZhuWE,MLP HUB: Virtuální knihovna v Praze ve VRChat,"Sep 29, 2025",2921,180
soerao-Racs,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 2: Boží prsty,"Aug 15, 2025",642,179
REqtbU6wDRQ,Petr Šimeček – Algoritmus kávy | Z-ai-mavý spisovatel,"Feb 15, 2026",501,172
9R7jfBwHP9Y,Karel Hádek – Čtení o staré Praze | Kapitola 26: Pražská móda empírová,"Feb 8, 2026",730,171
Y_zv4fFP4kU,Karel Hádek – Čtení o staré Praze | Kapitola 7: O Valdštejnském paláci,"Oct 5, 2025",775,171
PW2RprOSYgM,Karel Hádek – Čtení o staré Praze | Kapitola 18: Jak byl obnovován magistrát,"Dec 14, 2025",657,170
gdtJ97T8Kf8,Karel Hádek – Čtení o staré Praze | Kapitola 5: Barvířský ostrov,"Sep 28, 2025",620,170
wmdeM6zx9Ds,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 8: Duch nebožtíka Hroudy,"Aug 18, 2025",641,170
ULLgm1FrVUI,Karel Hádek – Čtení o staré Praze | Kapitola 22: Nejkrásnější hřbitůvek,"Jan 11, 2026",513,168
sF9A4D-OZvc,Hanuš Hackenschmied – U ledové víly | Kapitola 1: O třech princeznách v Modré hoře,"Oct 5, 2025",2705,168
as-bcT6bn6c,Mariánská listování s Pavlem Suchanem - 8. díl,"Oct 21, 2025",2599,161
0e1mFrmPUcg,Virtuální realita v tréninku náročné komunikace,"Aug 25, 2025",2380,160
qrTWu3MWb98,Mariánská listování  s Dušanem Neumannem - 11. díl,"Feb 9, 2026",2900,157
G6J-4Mg-FkE,Karel Hádek – Čtení o staré Praze | Kapitola 19: O nebožce lotynce,"Dec 21, 2025",968,152
OcSPbpkVr7g,Karel Hádek – Čtení o staré Praze | Kapitola 10: Dva starobylé domy malostranské,"Oct 26, 2025",895,149
tSSFpdBACYM,Karel Hádek – Čtení o staré Praze | Kapitola 20: Vánoce! Vánoce!,"Dec 29, 2025",705,142
S2evx5SdTcU,Literární rezidence a alternativní scéna – Hana Ludíková | Pestrá země,"Dec 5, 2025",1358,135
jFXRfxhuNVs,Karel Hádek – Čtení o staré Praze | Kapitola 9: Paladium země České,"Oct 19, 2025",482,134
k_b1irMvpLw,Mariánská listování s Ivanem Pušem - 13.díl,"Apr 8, 2026",1969,130
qaOtolrVbXQ,Ruce – Otokar Březina | Mozaika české poezie: Hlasy a otázky,"Mar 26, 2026",295,127
xl9DZdM0ch4,Karel Hádek – Čtení o staré Praze | Kapitola 34: Bombardování Prahy Windischgrätzem,"Apr 5, 2026",446,127
0BcyKP663vg,Mariánská listování s Michalem Brožou - 10. díl,"Jan 19, 2026",3409,125
QUby9009nkw,Karel Hádek – Čtení o staré Praze | Kapitola 14: Papouškové lázně,"Nov 16, 2025",522,125
H6bRm_nc4pk,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 9: Jak vraždila rakouská byrokracie naše nejl...,"Aug 23, 2025",497,122
AZfRuni3yoo,Balada dětská – Jan Neruda | Mozaika české poezie: Příběhy a obrazy,"Mar 26, 2026",128,121
BUGJAYMkz2I,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 3: Chocholouš,"Aug 15, 2025",589,121
VsjXpJi6K8I,Karel Hádek – Čtení o staré Praze | Kapitola 31: O té velké vodě,"Mar 15, 2026",899,121
WLG1Sdh_Wvk,Karel Hádek – Čtení o staré Praze | Kapitola 32: Praha 1855,"Mar 22, 2026",506,120
o-4LbeU8P5s,Jak virtuální realita pomáhá seniorům i pečovatelům | 10. díl,"Mar 30, 2026",2383,119
1kvk95w0Qjs,Mariánská listování s Janem Smigmatorem - 7. díl,"Sep 23, 2025",2242,118
DxL68eD0uNk,"Virtuální realita, film a knihovny – Ondřej Moravec | Díl 9","Feb 25, 2026",3245,117
sj34fxvAXEY,Rehabilitace ve virtuální realitě,"Nov 20, 2025",1327,117
6GhXoPfo5P4,Karel Hádek – Čtení o staré Praze | Kapitola 11: Židovský průvod,"Oct 26, 2025",685,116
X_mmgnMYENQ,Karel Hádek – Čtení o staré Praze | Kapitola 33: Kocourkovské příběhy,"Mar 29, 2026",1261,112
2zi5mkm5e4Q,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 6: Plavba paní Suchánkové do Ameriky,"Aug 15, 2025",1207,111
iyl9PKDGaL8,Pršelo v noci – Karel Hlaváček | Mozaika české poezie: Hlasy a otázky,"Apr 10, 2026",293,108
DtxuxoBVezQ,Mariánská listování se Zdeňkem Pokludou - 14. díl,"May 4, 2026",2972,105
lOJhJ_QZIc8,Karel Hádek – Čtení o staré Praze | Kapitola 35: Zlatá bula ztracena a opět nalezena,"Apr 12, 2026",568,99
HMIjm7wkr3k,Karel Hádek – Čtení o staré Praze | Kapitola 27: Zpěváčkové,"Feb 15, 2026",852,98
Vgh5DIRnvFg,Poutník – Otakar Theer | Mozaika české poezie: Hlasy a otázky,"May 7, 2026",195,95
dZvtoVYtN30,Za noci březnové – Karel Hlaváček | Mozaika české poezie: Hlasy a otázky,"Apr 10, 2026",219,93
0nwGiePljtg,Karel Hádek – Čtení o staré Praze | Kapitola 12: Pražské písně lidu vojenského,"Nov 2, 2025",597,92
m3TgaugXTRY,Mariánská listování s Evou Chodějovskou - 4.díl,"Aug 18, 2025",2344,92
n-8Dmo-g_0I,Karel Hádek – Čtení o staré Praze | Kapitola 28: Jak přijel do Prahy první vlak,"Feb 22, 2026",773,90
9uTcAobSr0Y,Apostrofa zimní – Otokar Březina | Mozaika české poezie: Hlasy a otázky,"Apr 23, 2026",342,88
G23iqulol6Q,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 5: Němá láska poručíka Klanga,"Aug 15, 2025",1287,87
vmhs0_jqo5k,Karel Hádek – Čtení o staré Praze | Kapitola 30: Rychtář Vavák vidí korunovaci Leopolda II.,"Mar 8, 2026",567,87
XYdOF5w8P1A,Virtuální realita: KineDok a dokumentární film | 11. díl,"Apr 27, 2026",2552,86
xlAPcPNNi1g,Z věčných dálek – Otokar Březina | Mozaika české poezie: Hlasy a otázky,"May 7, 2026",304,86
p81-DGUXFtI,Nacistická propaganda v ČSR,"Dec 2, 2025",1580,85
t04WykqxoOA,Samostatná Ukrajina,"Dec 2, 2025",1473,85
GG4Ds2IAIKY,Karel Hádek – Čtení o staré Praze | Kapitola 37: Pět zajímavých epitafů,"Apr 26, 2026",455,84
aIpLdxcelt4,Karel Hádek – Čtení o staré Praze | Kapitola 29: Blahořečení Jana Nepomuckého,"Mar 1, 2026",843,83
h3L6qzI-Q-A,Mariánská listování s Helenou Koenigsmarkovou - 12. díl,"Mar 2, 2026",3081,80
Usb5zLIREWY,Byl Adolf Hitler komunista?,"Dec 2, 2025",1037,79
Hj1PdaUnadE,Práce – Josef Hora | Mozaika české poezie: Příběhy a obrazy,"Apr 23, 2026",153,75
ipa-RoUzQcg,"Karel Hádek – Čtení o staré Praze | Kapitola 36: Seance, nebo senzace?","Apr 20, 2026",580,74
c-mZhholZOA,Michaela Liegertová – Přiznání algoritmu | Z-ai-mavý spisovatel,"Feb 8, 2026",555,67
8IpVfWvpu3M,Jiří Krišpin – Domovní důvěrník 2.0 | Z-ai-mavý spisovatel,"Feb 8, 2026",444,65
xPgLt1FdYCI,V pravěkém světě – Arnošt Caha | Kapitola 1: Cestou k jeskyni,"May 25, 2026",682,63
tcRmifYNZDc,Jana Šindlerová – Hledání slov | Z-ai-mavý spisovatel,"Feb 22, 2026",622,61
e_fEn3QC264,Temná druhá republika,"Dec 2, 2025",1318,53
o0ewA8rKR8o,VR Guide me final,"May 26, 2026",2106,51
8AgXCEb7maU,Poslední svobodné volby,"Dec 2, 2025",1432,50
areKoQHEVZc,Hitlerova cesta k moci - i Hitlera si zvolili demokraticky,"Dec 2, 2025",1351,31
9cvALuTe_wE,Mariánská listování s Ester Pavlů - 15. díl,,2792,0
