Obsah,Název videa,Čas zveřejnění videa,Délka,Zhlédnutí
h3L6qzI-Q-A,Mariánská listování s Helenou Koenigsmarkovou - 12. díl,"Mar 2, 2026",3081,78
Usb5zLIREWY,Byl Adolf Hitler komunista?,"Dec 2, 2025",1037,74
XYdOF5w8P1A,Virtuální realita: KineDok a dokumentární film | 11. díl,"Apr 27, 2026",2552,66
8IpVfWvpu3M,Jiří Krišpin – Domovní důvěrník 2.0 | Z-ai-mavý spisovatel,"Feb 8, 2026",444,64
ipa-RoUzQcg,"Karel Hádek – Čtení o staré Praze | Kapitola 36: Seance, nebo senzace?","Apr 20, 2026",580,63
c-mZhholZOA,Michaela Liegertová – Přiznání algoritmu | Z-ai-mavý spisovatel,"Feb 8, 2026",555,60
dZvtoVYtN30,Za noci březnové – Karel Hlaváček | Mozaika české poezie: Hlasy a otázky,"Apr 10, 2026",219,57
tcRmifYNZDc,Jana Šindlerová – Hledání slov | Z-ai-mavý spisovatel,"Feb 22, 2026",622,55
GG4Ds2IAIKY,Karel Hádek – Čtení o staré Praze | Kapitola 37: Pět zajímavých epitafů,"Apr 26, 2026",455,54
9uTcAobSr0Y,Apostrofa zimní – Otokar Březina | Mozaika české poezie: Hlasy a otázky,"Apr 23, 2026",342,50
e_fEn3QC264,Temná druhá republika,"Dec 2, 2025",1318,48
Hj1PdaUnadE,Práce – Josef Hora | Mozaika české poezie: Příběhy a obrazy,"Apr 23, 2026",153,44
8AgXCEb7maU,Poslední svobodné volby,"Dec 2, 2025",1432,40
areKoQHEVZc,Hitlerova cesta k moci - i Hitlera si zvolili demokraticky,"Dec 2, 2025",1351,28
