PodcastName,EpisodeName,PublishDate,Downloads
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 31: O té velké vodě,03/15/2026 11:00:26 UTC,18
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 33: Kocourkovské příběhy,03/29/2026 10:00:08 UTC,18
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 18: Jak byl obnovován magistrát,12/14/2025 11:00:45 UTC,17
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 22: Nejkrásnější hřbitůvek,01/11/2026 11:00:17 UTC,17
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 25: Život vojenský – život veselý,02/01/2026 11:00:14 UTC,17
Nová vlna,Petr Šimeček – Algoritmus kávy | Z-ai-mavý spisovatel,02/15/2026 11:00:35 UTC,17
Poezie v rytmu,Lesní studánka – Josef Václav Sládek | Mozaika české poezie: Příběhy a obrazy,03/11/2026 09:23:40 UTC,16
Mariánská listování,Mariánská listování s Janem Smigmatorem,10/30/2025 03:00:16 UTC,15
Mariánská listování,Mariánská listování: Česká škola v Chicagu,10/29/2025 03:00:05 UTC,15
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 32: Praha 1855,03/22/2026 11:00:16 UTC,15
Nová vlna,Markéta Fryaufová – Květiny se nevrací | Z-ai-mavý spisovatel,03/03/2026 10:00:01 UTC,15
Mariánská listování,Mariánská listování s Evou Chodějovskou,10/28/2025 03:00:21 UTC,13
Poezie v rytmu,Svou violu jsem naladil co možno nejhlouběji – Karel Hlaváček | Mozaika české poezie: Hlasy a otázky,03/12/2026 06:59:10 UTC,9
Poezie v rytmu,Poštovní schránka – Jiří Wolker | Mozaika české poezie: Příběhy a obrazy,03/12/2026 06:36:08 UTC,9
Poezie v rytmu,Ruce – Otokar Březina | Mozaika české poezie: Hlasy a otázky,03/25/2026 11:00:31 UTC,8
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 34: Bombardování Prahy Windischgrätzem,04/05/2026 10:00:15 UTC,6
Poezie v rytmu,Balada dětská – Jan Neruda | Mozaika české poezie: Příběhy a obrazy,03/25/2026 11:00:13 UTC,3
