Obsah,Název videa,Čas zveřejnění videa,Délka,Zhlédnutí
_-LTRQJyC4Y,Karel Hádek – Čtení o staré Praze | Kapitola 25: Život vojenský – život veselý,"Feb 1, 2026",890,222
aO9IwLwZrMs,Karel Hádek – Čtení o staré Praze | Kapitola 4: Pověsti o Staronové škole,"Sep 28, 2025",568,221
YFBLQCVyJK4,Kouzelný stůl 3. díl | Conrad Hagger ornamentální paštiky a dekorativní marcipán,"Mar 20, 2026",3399,214
ofLrbidTUik,Mariánská listování: Česká škola v Chicagu,"Sep 1, 2025",2470,214
0KNr2DOZalM,Karel Hádek – Čtení o staré Praze | Kapitola 15: Dopis z roku 1819,"Nov 23, 2025",820,213
lKfxKZTVHzE,Virtuální realita a prevence kriminality – Missing 10 Hours,"Jul 21, 2025",1519,213
6KlLyNPsbdk,Karel Hádek – Čtení o staré Praze | Kapitola 3: O tandlmarku,"Sep 26, 2025",777,206
HFtm9FvXsaU,Karel Hádek – Čtení o staré Praze | Kapitola 6: Zahrady za Koňskou branou,"Oct 5, 2025",580,204
Vxebi-BnYh4,Mariánská listování s Rudym Linkou,"Sep 8, 2025",3136,204
itaqj40lnlg,"Virtuální realita z pohledu kulturní antropologie, Korea ve VR","Jan 26, 2026",1816,202
MKOIRfltl6Y,Karel Hádek – Čtení o staré Praze | Kapitola 23: Móda ve středověké Praze,"Jan 18, 2026",734,189
_VAzd9St5aI,Virtuální město: trénink paměti a kognitivních funkcí pro seniory,"Oct 29, 2025",1460,188
aa-m1jhdlY4,Pestrá země: rozhovor s Pavlem Novotným,"Feb 23, 2026",1926,186
soerao-Racs,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 2: Boží prsty,"Aug 15, 2025",642,179
tyeTgBeblV8,Poštovní schránka – Jiří Wolker | Mozaika české poezie: Příběhy a obrazy,"Mar 13, 2026",87,171
qrhzr3ZhuWE,MLP HUB: Virtuální knihovna v Praze ve VRChat,"Sep 29, 2025",2921,170
wmdeM6zx9Ds,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 8: Duch nebožtíka Hroudy,"Aug 18, 2025",641,170
2-7AMKqBPdg,Virtuální realita: Open Brush – malování v 3D prostoru,"Dec 22, 2025",2672,168
9R7jfBwHP9Y,Karel Hádek – Čtení o staré Praze | Kapitola 26: Pražská móda empírová,"Feb 8, 2026",730,168
PW2RprOSYgM,Karel Hádek – Čtení o staré Praze | Kapitola 18: Jak byl obnovován magistrát,"Dec 14, 2025",657,168
REqtbU6wDRQ,Petr Šimeček – Algoritmus kávy | Z-ai-mavý spisovatel,"Feb 15, 2026",501,167
ULLgm1FrVUI,Karel Hádek – Čtení o staré Praze | Kapitola 22: Nejkrásnější hřbitůvek,"Jan 11, 2026",513,166
gdtJ97T8Kf8,Karel Hádek – Čtení o staré Praze | Kapitola 5: Barvířský ostrov,"Sep 28, 2025",620,165
sF9A4D-OZvc,Hanuš Hackenschmied – U ledové víly | Kapitola 1: O třech princeznách v Modré hoře,"Oct 5, 2025",2705,165
GpgrN9znRiI,Splav – Fráňa Šrámek | Mozaika české poezie: Příběhy a obrazy,"Mar 13, 2026",155,162
Y_zv4fFP4kU,Karel Hádek – Čtení o staré Praze | Kapitola 7: O Valdštejnském paláci,"Oct 5, 2025",775,160
as-bcT6bn6c,Mariánská listování s Pavlem Suchanem,"Oct 21, 2025",2599,159
0e1mFrmPUcg,Virtuální realita v tréninku náročné komunikace,"Aug 25, 2025",2380,158
yH2Z5MORERw,Kouzelný stůl 4. díl | Znovuzrození kouzelného stolu – jak jsme oživili barokní mechanismus,"Apr 1, 2026",3546,151
G6J-4Mg-FkE,Karel Hádek – Čtení o staré Praze | Kapitola 19: O nebožce lotynce,"Dec 21, 2025",968,149
OcSPbpkVr7g,Karel Hádek – Čtení o staré Praze | Kapitola 10: Dva starobylé domy malostranské,"Oct 26, 2025",895,143
tSSFpdBACYM,Karel Hádek – Čtení o staré Praze | Kapitola 20: Vánoce! Vánoce!,"Dec 29, 2025",705,136
jFXRfxhuNVs,Karel Hádek – Čtení o staré Praze | Kapitola 9: Paladium země České,"Oct 19, 2025",482,131
S2evx5SdTcU,Pestrá země: Hana Lundiaková,"Dec 5, 2025",1358,130
QUby9009nkw,Karel Hádek – Čtení o staré Praze | Kapitola 14: Papouškové lázně,"Nov 16, 2025",522,122
H6bRm_nc4pk,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 9: Jak vraždila rakouská byrokracie naše nejl...,"Aug 23, 2025",497,121
qrTWu3MWb98,Mariánská listování  s Dušanem Neumannem - 11. díl,"Feb 9, 2026",2900,119
BUGJAYMkz2I,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 3: Chocholouš,"Aug 15, 2025",589,117
0BcyKP663vg,Mariánská listování s Michalem Brožou,"Jan 19, 2026",3409,115
1kvk95w0Qjs,Mariánská listování s Janem Smigmatorem,"Sep 23, 2025",2242,115
DJZlngrgbZ0,Svou violu jsem naladil co možno nejhlouběji – Karel Hlaváček | Mozaika české poezie: Hlasy a otázky,"Mar 13, 2026",304,114
sj34fxvAXEY,Rehabilitace ve virtuální realitě,"Nov 20, 2025",1327,114
2zi5mkm5e4Q,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 6: Plavba paní Suchánkové do Ameriky,"Aug 15, 2025",1207,111
6GhXoPfo5P4,Karel Hádek – Čtení o staré Praze | Kapitola 11: Židovský průvod,"Oct 26, 2025",685,110
DxL68eD0uNk,"Virtuální realita, film a knihovny – Ondřej Moravec | Díl 9","Feb 25, 2026",3245,109
WLG1Sdh_Wvk,Karel Hádek – Čtení o staré Praze | Kapitola 32: Praha 1855,"Mar 22, 2026",506,109
VsjXpJi6K8I,Karel Hádek – Čtení o staré Praze | Kapitola 31: O té velké vodě,"Mar 15, 2026",899,102
xl9DZdM0ch4,Karel Hádek – Čtení o staré Praze | Kapitola 34: Bombardování Prahy Windischgrätzem,"Apr 5, 2026",446,99
HMIjm7wkr3k,Karel Hádek – Čtení o staré Praze | Kapitola 27: Zpěváčkové,"Feb 15, 2026",852,95
X_mmgnMYENQ,Karel Hádek – Čtení o staré Praze | Kapitola 33: Kocourkovské příběhy,"Mar 29, 2026",1261,89
0nwGiePljtg,Karel Hádek – Čtení o staré Praze | Kapitola 12: Pražské písně lidu vojenského,"Nov 2, 2025",597,88
m3TgaugXTRY,Mariánská listování s Evou Chodějovskou,"Aug 18, 2025",2344,88
qaOtolrVbXQ,Ruce – Otokar Březina | Mozaika české poezie: Hlasy a otázky,"Mar 26, 2026",295,87
G23iqulol6Q,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 5: Němá láska poručíka Klanga,"Aug 15, 2025",1287,86
n-8Dmo-g_0I,Karel Hádek – Čtení o staré Praze | Kapitola 28: Jak přijel do Prahy první vlak,"Feb 22, 2026",773,85
vmhs0_jqo5k,Karel Hádek – Čtení o staré Praze | Kapitola 30: Rychtář Vavák vidí korunovaci Leopolda II.,"Mar 8, 2026",567,80
aIpLdxcelt4,Karel Hádek – Čtení o staré Praze | Kapitola 29: Blahořečení Jana Nepomuckého,"Mar 1, 2026",843,79
o-4LbeU8P5s,Jak virtuální realita pomáhá seniorům i pečovatelům | 10. díl,"Mar 30, 2026",2383,78
t04WykqxoOA,Samostatná Ukrajina,"Dec 2, 2025",1473,78
AZfRuni3yoo,Balada dětská – Jan Neruda | Mozaika české poezie: Příběhy a obrazy,"Mar 26, 2026",128,77
h3L6qzI-Q-A,Mariánská listování: Muzea a knihovny – Helena Koenigsmarková,"Mar 2, 2026",3081,73
Usb5zLIREWY,Byl Adolf Hitler komunista?,"Dec 2, 2025",1037,72
p81-DGUXFtI,Nacistická propaganda v ČSR,"Dec 2, 2025",1580,71
8IpVfWvpu3M,Jiří Krišpin – Domovní důvěrník 2.0 | Z-ai-mavý spisovatel,"Feb 8, 2026",444,64
c-mZhholZOA,Michaela Liegertová – Přiznání algoritmu | Z-ai-mavý spisovatel,"Feb 8, 2026",555,60
tcRmifYNZDc,Jana Šindlerová – Hledání slov | Z-ai-mavý spisovatel,"Feb 22, 2026",622,52
e_fEn3QC264,Temná druhá republika,"Dec 2, 2025",1318,46
8AgXCEb7maU,Poslední svobodné volby,"Dec 2, 2025",1432,33
areKoQHEVZc,Hitlerova cesta k moci - i Hitlera si zvolili demokraticky,"Dec 2, 2025",1351,26
